20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E10H50Y40_30SPD_DIA_1.raw,E10H50Y40
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E10H50Y40_30SPD_DIA_2.raw,E10H50Y40
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E10H50Y40_30SPD_DIA_3.raw,E10H50Y40
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E10H50Y40_30SPD_DIA_4.raw,E10H50Y40
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E20H50Y30_30SPD_DIA_1.raw,E20H50Y30
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E20H50Y30_30SPD_DIA_2.raw,E20H50Y30
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E20H50Y30_30SPD_DIA_3.raw,E20H50Y30
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E20H50Y30_30SPD_DIA_4.raw,E20H50Y30
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E30H50Y20_30SPD_DIA_1.raw,E30H50Y20
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E30H50Y20_30SPD_DIA_2.raw,E30H50Y20
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E30H50Y20_30SPD_DIA_3.raw,E30H50Y20
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E30H50Y20_30SPD_DIA_4.raw,E30H50Y20
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E40H50Y10_30SPD_DIA_1.raw,E40H50Y10
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E40H50Y10_30SPD_DIA_2.raw,E40H50Y10
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E40H50Y10_30SPD_DIA_3.raw,E40H50Y10
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E40H50Y10_30SPD_DIA_4.raw,E40H50Y10
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E45H50Y5_30SPD_DIA_1.raw,E45H50Y5
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E45H50Y5_30SPD_DIA_2.raw,E45H50Y5
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E45H50Y5_30SPD_DIA_3.raw,E45H50Y5
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E45H50Y5_30SPD_DIA_4.raw,E45H50Y5
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E5H50Y45_30SPD_DIA_1.raw,E5H50Y45
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E5H50Y45_30SPD_DIA_2.raw,E5H50Y45
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E5H50Y45_30SPD_DIA_3.raw,E5H50Y45
20220909_EXPL8_Evo5_ZY_MixedSpecies_500ng_E5H50Y45_30SPD_DIA_4.raw,E5H50Y45
